Countries,1instances,2instances,SupremeCourts
Albania,108,413,253
Andorra,,,
Armenia,195,51,64
Austria,99,46,110
Azerbaijan,70,58,101
Belgium,,188,165
Bosnia and Herzegovina,301,77,60
Bulgaria,48,51,86
Croatia,165,230,103
Cyprus,304,,653
Czech Republic,67,27,55
Denmark,38,85,
Estonia,35,21,107
Finland,118,149,186
France,,286,173
Georgia,76,84,143
Germany,117,127,95
Greece,,,121
Hungary,59,68,55
Iceland,,,74
Ireland,,,275
Italy,310,876,191
Latvia,135,74,66
Lithuania,65,46,73
Luxembourg,,,
Malta,294,1025,
Monaco,117,65,209
Montenegro,145,7,26
Netherlands,128,208,
Norway,73,95,171
Poland,95,39,97
Portugal,235,105,50
Republic of Moldova,131,51,64
Romania,111,115,66
Serbia,274,23,63
Slovakia,63,28,71
Slovenia,141,46,136
Spain,163,56,157
Sweden,133,107,35
Switzerland,96,114,143
Macedonia,171,103,233
Ukraine,166,68,142
UK-England and Wales,72,,
UK-Northern Ireland,,,
UK-Scotland,,,
